fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,55,32.6,43.3,24.1,1.14,4.5,5.8,0.841594702,55.8
1,97,19.8,67,13.2,1.14,3.56,9.8,1.069392784,48.7
1,166,27.7,41.6,30.7,1.15,3,95.3,2.057259609,39.4
1,1015,45.7,30.4,24,0.85,0.49,23.01,1.36,62
1,1066,13.5,25.5,61,1.23,1.27,490.91,2.69,25
1,166,27.7,41.6,30.7,1.15,3,210.4,2.401212444,33.8
1,1016,54.2,34.4,11,0.95,1.01,175.39,2.24,39
1,1059,41.3,26.9,32,1.04,1.18,4.16,0.62,61
1,160,37.6,42.2,20.2,1.36,2,31.8,1.580593828,38.1
1,20,39.2,50.2,10.6,1.42,5.82,178.3,2.329318051,32.4
1,114,26,40.5,33.5,0.56,5.74,105.2,2.100182448,48.1
1,1059,41.3,26.9,32,1.04,1.18,4.85,0.69,60
1,1018,37.2,22,41,1.11,0.91,220.8,2.34,35
1,8,60,33.4,6.6,1.47,3.61,372.3,2.649059744,43.4
1,4,25,57.8,17.2,1.42,0.01,709,2.928812943,36.4
1,46,16,77.8,6.2,1.35,0.86,0.1,-0.921833292,49
1,1045,51.1,35.3,14,0.77,1.02,23.6,1.37,61
1,46,16,77.8,6.2,1.35,0.86,2.1,0.400386003,48.8
1,8,60,33.4,6.6,1.47,3.61,160.1,2.28255804,45
1,152,29.9,54.2,15.9,1.39,5,6.7,0.904241511,48.3
1,88,12.8,71.9,15.3,1.22,0.01,371.5,2.648125526,30.7
1,1018,37.2,22,41,1.11,0.91,296.48,2.47,33
1,1069,10.5,18.4,71,1.17,0.8,224.39,2.35,22
1,115,26,40.5,33.5,0.57,5.74,23.2,1.443654693,64.9
1,1059,41.3,26.9,32,1.04,1.18,85.9,1.93,40
1,152,29.9,54.2,15.9,1.39,5,8.9,1.027556715,48.3
1,46,16,77.8,6.2,1.35,0.86,641.7,2.885498747,31.2
1,46,16,77.8,6.2,1.35,0.86,63.1,1.878196067,40.4
1,20,39.2,50.2,10.6,1.42,5.82,710.6,2.929791911,28.7
1,46,16,77.8,6.2,1.35,0.86,650.6,2.891480767,31.2
1,1080,11.5,18.4,70,1.23,0.62,108.89,2.04,33
1,159,29.1,60.5,10.4,1.48,0.01,26.3,1.498122457,41.7
1,20,39.2,50.2,10.6,1.42,5.82,260.7,2.494307739,31.6
1,1065,34.8,30.7,35,1.09,1.34,411.15,2.61,29
1,164,29.8,55,15.2,1.58,1.8,5.2,0.794170052,40.9
1,20,39.2,50.2,10.6,1.42,5.82,257.1,2.488268785,31.7
1,46,16,77.8,6.2,1.35,0.86,576.6,2.839041346,31.5
1,105,4.3,27.1,68.6,1.39,2.5,43.7,1.718648145,47.1
1,123,5,35.7,59.3,1.47,0,45,1.731379222,35.5
1,1083,11.6,22.5,66,0.95,1.21,829.85,2.92,17
1,1065,34.8,30.7,35,1.09,1.34,74.64,1.87,40
1,1080,11.5,18.4,70,1.23,0.62,138.68,2.14,29
1,123,5,35.7,59.3,1.47,0,47.8,1.757594605,35.3
1,1059,41.3,26.9,32,1.04,1.18,50.47,1.7,48
1,1016,54.2,34.4,11,0.95,1.01,772.68,2.89,31
1,1018,37.2,22,41,1.11,0.91,24.6,1.39,55
1,123,5,35.7,59.3,1.47,0,67,1.904241511,33.7
1,115,26,40.5,33.5,0.57,5.74,21.9,1.418610823,65.3
1,149,33.9,50.2,15.9,1.58,0.2,32.7,1.592714461,42.8
1,1047,42,38.7,19,0.87,0.47,74.64,1.87,49
1,1080,11.5,18.4,70,1.23,0.62,110.92,2.05,33
1,1083,11.6,22.5,66,0.95,1.21,73.11,1.86,38
1,159,29.1,60.5,10.4,1.48,0.01,39,1.669231315,40.7
1,105,4.3,27.1,68.6,1.39,2.5,53.7,1.808140994,44.7
1,1033,46,23.8,30,0.92,1.99,2.37,0.38,65
1,126,14.7,75.3,10,1.29,0,44.7,1.728474231,38.4
1,152,29.9,54.2,15.9,1.39,5,8,0.981256695,46.7
1,152,29.9,54.2,15.9,1.39,5,25.8,1.489786414,41.4
1,1018,37.2,22,41,1.11,0.91,49.2,1.69,51
1,97,19.8,67,13.2,1.14,3.56,2.2,0.420589389,51.5
1,1063,33.1,39.4,28,0.94,2.52,71.61,1.86,45
1,20,39.2,50.2,10.6,1.42,5.82,435.3,2.716955375,30.4
1,1066,13.5,25.5,61,1.23,1.27,121.06,2.08,39
1,1031,46.8,22.4,31,0.96,1.12,36.73,1.57,61
1,1047,42,38.7,19,0.87,0.47,45.92,1.66,55
1,160,37.6,42.2,20.2,1.36,2,192.8,2.363273738,27.1
1,142,11.6,63.4,25,1.1,12,6.2,0.870558398,56.8
1,115,26,40.5,33.5,0.57,5.74,404.6,2.685192587,36.6
1,1016,54.2,34.4,11,0.95,1.01,424.62,2.63,34
1,46,16,77.8,6.2,1.35,0.86,280.7,2.526409121,34.2
1,160,37.6,42.2,20.2,1.36,2,7.3,0.941489568,48.3
1,1064,28.8,33.5,38,1.11,2.56,261.82,2.42,31
1,97,19.8,67,13.2,1.14,3.56,724.4,2.93814515,22.6
1,123,5,35.7,59.3,1.47,0,6.3,0.877507258,41.6
1,1045,51.1,35.3,14,0.77,1.02,25.76,1.41,59
1,126,14.7,75.3,10,1.29,0,10.9,1.115593206,44.8
1,1018,37.2,22,41,1.11,0.91,18.07,1.26,56
1,20,39.2,50.2,10.6,1.42,5.82,285.3,2.53346848,31.4
1,165,17.5,77,5.5,1.42,1,118,2.150048715,32
1,118,6.6,78.9,14.5,1.24,1.8,18.5,1.345338437,47.2
1,20,39.2,50.2,10.6,1.42,5.82,395.7,2.675532758,30.6
1,1047,42,38.7,19,0.87,0.47,41.59,1.62,61
1,46,16,77.8,6.2,1.35,0.86,49.4,1.771893657,41.6
1,114,26,40.5,33.5,0.56,5.74,55.7,1.824021903,54.4
1,1015,45.7,30.4,24,0.85,0.49,28.31,1.45,61
1,1016,54.2,34.4,11,0.95,1.01,120.5,2.08,42
1,1016,54.2,34.4,11,0.95,1.01,27.35,1.44,59
1,1031,46.8,22.4,31,0.96,1.12,126.77,2.1,46
1,1033,46,23.8,30,0.92,1.99,70.79,1.85,49
1,1047,42,38.7,19,0.87,0.47,4.44,0.65,66
1,88,12.8,71.9,15.3,1.22,0.01,218.8,2.418214026,39
1,1018,37.2,22,41,1.11,0.91,117.76,2.07,41
1,1080,11.5,18.4,70,1.23,0.62,91.83,1.96,36
1,1080,11.5,18.4,70,1.23,0.62,82.6,1.92,38
1,125,16.7,69.2,14.1,1.69,2.2,314.8,2.576201432,32.7
1,149,33.9,50.2,15.9,1.58,0.2,175.4,2.322196297,38.2
1,1016,54.2,34.4,11,0.95,1.01,23.55,1.37,60
1,1066,13.5,25.5,61,1.23,1.27,258.82,2.41,32
1,46,16,77.8,6.2,1.35,0.86,410.3,2.691268225,32.6
1,1016,54.2,34.4,11,0.95,1.01,30.41,1.48,58
1,4,25,57.8,17.2,1.42,0.01,116.8,2.145609551,41.1
1,126,14.7,75.3,10,1.29,0,86.7,2.016185806,33.5
1,88,12.8,71.9,15.3,1.22,0.01,5128.6,3.788165536,12.6
1,1016,54.2,34.4,11,0.95,1.01,23.33,1.37,60
1,46,16,77.8,6.2,1.35,0.86,131.6,2.197422597,37.5
1,20,39.2,50.2,10.6,1.42,5.82,403.2,2.683687232,30.6
1,46,16,77.8,6.2,1.35,0.86,285.7,2.534076949,34.1
1,164,29.8,55,15.2,1.58,1.8,33.2,1.599304792,37.6
1,164,29.8,55,15.2,1.58,1.8,1.8,0.333439213,42
1,1031,46.8,22.4,31,0.96,1.12,4.73,0.68,65
1,46,16,77.8,6.2,1.35,0.86,147.3,2.246369455,37
1,1047,42,38.7,19,0.87,0.47,50.35,1.7,60
1,165,17.5,77,5.5,1.42,1,158.9,2.279290605,28.3
1,164,29.8,55,15.2,1.58,1.8,51.4,1.789129827,36.7
1,95,29.3,55.3,15.4,1.35,0.2,562.3,2.828134792,24.5
1,142,11.6,63.4,25,1.1,12,26.4,1.499770635,46.6
1,1031,46.8,22.4,31,0.96,1.12,52.72,1.72,58
1,165,17.5,77,5.5,1.42,1,30.9,1.568125188,40.2
1,95,29.3,55.3,15.4,1.35,0.2,29.5,1.547988724,41.7
1,1065,34.8,30.7,35,1.09,1.34,3.53,0.55,58
1,1081,22.6,54.3,23,1.11,1.36,304.79,2.48,40
1,4,25,57.8,17.2,1.42,0.01,14.7,1.245484043,44.7
1,1065,34.8,30.7,35,1.09,1.34,27.86,1.45,49
1,1045,51.1,35.3,14,0.77,1.02,0.95,-0.02,68
1,95,29.3,55.3,15.4,1.35,0.2,34.7,1.618496183,40.9
1,1031,46.8,22.4,31,0.96,1.12,0.93,-0.03,66
1,1018,37.2,22,41,1.11,0.91,34.83,1.54,53
1,1018,37.2,22,41,1.11,0.91,72.95,1.86,47
1,1080,11.5,18.4,70,1.23,0.62,25.47,1.41,45
1,1064,28.8,33.5,38,1.11,2.56,194.98,2.29,33
1,1064,28.8,33.5,38,1.11,2.56,52.6,1.72,47
1,166,27.7,41.6,30.7,1.15,3,33,1.596680648,52.5
1,160,37.6,42.2,20.2,1.36,2,19.5,1.36820132,41.8
1,159,29.1,60.5,10.4,1.48,0.01,9.9,1.073801903,43.5
1,115,26,40.5,33.5,0.57,5.74,77.6,1.968028429,49.2
1,159,29.1,60.5,10.4,1.48,0.01,222.3,2.425106171,34.9
1,20,39.2,50.2,10.6,1.42,5.82,188,2.352324557,32.3
1,88,12.8,71.9,15.3,1.22,0.01,1.9,0.356920309,53.2
1,1015,45.7,30.4,24,0.85,0.49,42.66,1.63,56
1,165,17.5,77,5.5,1.42,1,5688.5,3.833164471,10.6
1,115,26,40.5,33.5,0.57,5.74,295.1,2.548135918,38.2
1,1015,45.7,30.4,24,0.85,0.49,9.95,1,65
1,118,6.6,78.9,14.5,1.24,1.8,58.7,1.846804809,33.8
1,114,26,40.5,33.5,0.56,5.74,9.2,1.041954536,67.5
1,1066,13.5,25.5,61,1.23,1.27,512.86,2.71,25
1,20,39.2,50.2,10.6,1.42,5.82,382.7,2.66102517,30.7
1,1081,22.6,54.3,23,1.11,1.36,118.3,2.07,45
1,143,8.8,53.1,38.1,0.96,8,28.1,1.526873028,54.1
1,19,37.6,42.3,20.1,1.52,3.38,0,0,60.6
1,1031,46.8,22.4,31,0.96,1.12,24.21,1.38,64
1,125,16.7,69.2,14.1,1.69,2.2,3.1,0.569528402,39.8
1,1069,10.5,18.4,71,1.17,0.8,16.94,1.23,41
1,1015,45.7,30.4,24,0.85,0.49,807.24,2.91,30
1,1015,45.7,30.4,24,0.85,0.49,0.01,-2,66
1,88,12.8,71.9,15.3,1.22,0.01,346.7,2.61812055,31.9
1,1015,45.7,30.4,24,0.85,0.49,40.27,1.61,57
1,4,25,57.8,17.2,1.42,0.01,141.1,2.227693722,40.6
1,1059,41.3,26.9,32,1.04,1.18,26.18,1.42,57
1,123,5,35.7,59.3,1.47,0,21.7,1.414626442,38.7
1,165,17.5,77,5.5,1.42,1,449.8,2.731186159,18.9
1,123,5,35.7,59.3,1.47,0,5152.3,3.790167851,17.8
1,53,12.4,70.9,16.7,1.58,1.3,2379.1,3.454579405,21.3
1,1015,45.7,30.4,24,0.85,0.49,8.32,0.92,65
1,95,29.3,55.3,15.4,1.35,0.2,45.7,1.738082908,39.3
1,1080,11.5,18.4,70,1.23,0.62,46.77,1.67,44
1,143,8.8,53.1,38.1,0.96,8,524.8,2.798160535,39.2
1,1059,41.3,26.9,32,1.04,1.18,5.04,0.7,60
1,143,8.8,53.1,38.1,0.96,8,390.8,2.670121263,40.8
1,115,26,40.5,33.5,0.57,5.74,15.2,1.260010296,67.5
1,46,16,77.8,6.2,1.35,0.86,450.7,2.732054266,32.2
1,4,25,57.8,17.2,1.42,0.01,52.9,1.80162238,42.9
1,1081,22.6,54.3,23,1.11,1.36,287.08,2.46,41
1,164,29.8,55,15.2,1.58,1.8,5.3,0.802442578,41
1,46,16,77.8,6.2,1.35,0.86,823.3,2.993724824,30.7
1,160,37.6,42.2,20.2,1.36,2,162.6,2.289287249,27.9
1,32,16,41.1,42.9,1.47,3.66,72.8,1.940298087,45.6
1,1066,13.5,25.5,61,1.23,1.27,348.34,2.54,29
1,95,29.3,55.3,15.4,1.35,0.2,109.6,2.117977262,33
1,164,29.8,55,15.2,1.58,1.8,4.2,0.701415999,41.6
1,1064,28.8,33.5,38,1.11,2.56,97.5,1.99,40
1,1065,34.8,30.7,35,1.09,1.34,195.88,2.29,33
1,166,27.7,41.6,30.7,1.15,3,35,1.622234753,51.6
1,46,16,77.8,6.2,1.35,0.86,1423.6,3.231554687,29.9
1,1016,54.2,34.4,11,0.95,1.01,115.88,2.06,43
1,142,11.6,63.4,25,1.1,12,6.8,0.910675621,56.7
1,1015,45.7,30.4,24,0.85,0.49,84.33,1.93,45
1,88,12.8,71.9,15.3,1.22,0.01,208.9,2.398105148,39.9
1,1083,11.6,22.5,66,0.95,1.21,408.32,2.61,22
1,1031,46.8,22.4,31,0.96,1.12,117.49,2.07,47
1,160,37.6,42.2,20.2,1.36,2,105.2,2.100182448,30.3
1,105,4.3,27.1,68.6,1.39,2.5,91.2,2.038161546,31.1
1,55,32.6,43.3,24.1,1.14,4.5,755.1,2.956171178,32.7
1,115,26,40.5,33.5,0.57,5.74,35.7,1.630834924,60.6
1,20,39.2,50.2,10.6,1.42,5.82,170.5,2.309891091,32.5
1,1045,51.1,35.3,14,0.77,1.02,39.81,1.6,51
1,114,26,40.5,33.5,0.56,5.74,26.9,1.507918988,62.3
1,1069,10.5,18.4,71,1.17,0.8,56.1,1.75,36
1,20,39.2,50.2,10.6,1.42,5.82,379.8,2.657721669,30.7
1,1018,37.2,22,41,1.11,0.91,3.75,0.57,57
1,1016,54.2,34.4,11,0.95,1.01,79.98,1.9,48
1,20,39.2,50.2,10.6,1.42,5.82,199.3,2.377674007,32.1
1,142,11.6,63.4,25,1.1,12,12.3,1.16807182,54.3
1,20,39.2,50.2,10.6,1.42,5.82,696.1,2.920838342,28.8
1,167,23.4,71.5,5.1,1.14,6,132.7,2.201037631,45.6
1,149,33.9,50.2,15.9,1.58,0.2,33.7,1.605796609,42.7
1,1083,11.6,22.5,66,0.95,1.21,115.35,2.06,37
1,123,5,35.7,59.3,1.47,0,34,1.609645625,36.6
1,159,29.1,60.5,10.4,1.48,0.01,34.9,1.620992135,41
1,152,29.9,54.2,15.9,1.39,5,218.8,2.418214026,35.2
1,1016,54.2,34.4,11,0.95,1.01,48.31,1.68,54
1,1063,33.1,39.4,28,0.94,2.52,10.21,1.01,61
1,1016,54.2,34.4,11,0.95,1.01,0.13,-0.9,62
1,142,11.6,63.4,25,1.1,12,18,1.333439213,49.7
1,105,4.3,27.1,68.6,1.39,2.5,55,1.818529398,44.4
1,1063,33.1,39.4,28,0.94,2.52,42.76,1.63,50
1,164,29.8,55,15.2,1.58,1.8,5.4,0.810560468,41.1
1,149,33.9,50.2,15.9,1.58,0.2,23.1,1.441778688,43.2
1,125,16.7,69.2,14.1,1.69,2.2,286.4,2.535139722,33.4
1,1083,11.6,22.5,66,0.95,1.21,2.79,0.45,44
1,152,29.9,54.2,15.9,1.39,5,107.2,2.108361494,37
1,1069,10.5,18.4,71,1.17,0.8,195.88,2.29,23
1,125,16.7,69.2,14.1,1.69,2.2,1.4,0.224294744,40
1,20,39.2,50.2,10.6,1.42,5.82,142.1,2.230760786,32.9
1,55,32.6,43.3,24.1,1.14,4.5,103.8,2.094364062,42.2
1,1063,33.1,39.4,28,0.94,2.52,14.59,1.16,60
1,20,39.2,50.2,10.6,1.42,5.82,439.2,2.72082904,30.3
1,159,29.1,60.5,10.4,1.48,0.01,36.9,1.645193074,40.9
1,160,37.6,42.2,20.2,1.36,2,149.3,2.252226516,28.4
1,1065,34.8,30.7,35,1.09,1.34,121.34,2.08,36
1,1059,41.3,26.9,32,1.04,1.18,27.16,1.43,56
1,1065,34.8,30.7,35,1.09,1.34,20.23,1.31,53
1,167,23.4,71.5,5.1,1.14,6,173,2.316212811,44.6
1,55,32.6,43.3,24.1,1.14,4.5,6.3,0.877507258,54.3
1,1063,33.1,39.4,28,0.94,2.52,13.43,1.13,60
1,160,37.6,42.2,20.2,1.36,2,1.9,0.356920309,48.7
1,33,16,41.1,42.9,1.3,3.66,129.5,2.190436477,42.6
1,31,16,41.1,42.9,1.59,3.66,48.6,1.764802977,41.2
1,114,26,40.5,33.5,0.56,5.74,4315.2,3.713167637,32.9
1,1083,11.6,22.5,66,0.95,1.21,14.16,1.15,43
1,105,4.3,27.1,68.6,1.39,2.5,70.8,1.928199966,39.2
1,165,17.5,77,5.5,1.42,1,129.7,2.191106684,30.8
1,118,6.6,78.9,14.5,1.24,1.8,189.7,2.356234039,26.8
1,95,29.3,55.3,15.4,1.35,0.2,55,1.818529398,37.9
1,160,37.6,42.2,20.2,1.36,2,885.1,3.025159049,21.6
1,1080,11.5,18.4,70,1.23,0.62,29.85,1.48,45
1,20,39.2,50.2,10.6,1.42,5.82,388.2,2.667222239,30.7
1,167,23.4,71.5,5.1,1.14,6,38.2,1.660230071,49.6
1,1064,28.8,33.5,38,1.11,2.56,3.36,0.53,57
1,8,60,33.4,6.6,1.47,3.61,23.9,1.456564609,52.8
1,32,16,41.1,42.9,1.47,3.66,48.1,1.760311785,46.1
1,118,6.6,78.9,14.5,1.24,1.8,6.7,0.904241511,51.5
1,88,12.8,71.9,15.3,1.22,0.01,288.4,2.538161964,35.1
1,46,16,77.8,6.2,1.35,0.86,554.8,2.822303161,31.6
1,1064,28.8,33.5,38,1.11,2.56,27.42,1.44,52
1,125,16.7,69.2,14.1,1.69,2.2,122.5,2.166302797,36.5
1,105,4.3,27.1,68.6,1.39,2.5,162.2,2.288217558,17.5
1,142,11.6,63.4,25,1.1,12,17.1,1.311162819,51.1
1,1081,22.6,54.3,23,1.11,1.36,95.28,1.98,46
1,1066,13.5,25.5,61,1.23,1.27,75.86,1.88,41
1,164,29.8,55,15.2,1.58,1.8,5,0.777136713,41.4
1,1045,51.1,35.3,14,0.77,1.02,34.75,1.54,53
1,1064,28.8,33.5,38,1.11,2.56,22.23,1.35,53
1,46,16,77.8,6.2,1.35,0.86,150.2,2.254836641,36.9
1,149,33.9,50.2,15.9,1.58,0.2,31,1.569528402,42.9
1,1065,34.8,30.7,35,1.09,1.34,38.9,1.59,46
1,20,39.2,50.2,10.6,1.42,5.82,430.7,2.71234158,30.4
1,123,5,35.7,59.3,1.47,0,18.1,1.335845283,39.8
1,95,29.3,55.3,15.4,1.35,0.2,6.9,0.917015799,45.6
1,88,12.8,71.9,15.3,1.22,0.01,67.6,1.908113404,48.9
1,1064,28.8,33.5,38,1.11,2.56,283.79,2.45,30
1,1018,37.2,22,41,1.11,0.91,70.47,1.85,47
1,1015,45.7,30.4,24,0.85,0.49,20.37,1.31,63
1,88,12.8,71.9,15.3,1.22,0.01,251.2,2.478186343,37.3
1,1080,11.5,18.4,70,1.23,0.62,6.28,0.8,46
1,126,14.7,75.3,10,1.29,0,232.3,2.444215918,25.5
1,165,17.5,77,5.5,1.42,1,224.9,2.430156164,24.2
1,1015,45.7,30.4,24,0.85,0.49,57.81,1.76,51
1,1083,11.6,22.5,66,0.95,1.21,5.65,0.75,44
1,165,17.5,77,5.5,1.42,1,191,2.359200075,26
1,1080,11.5,18.4,70,1.23,0.62,60.12,1.78,42
1,115,26,40.5,33.5,0.57,5.74,94.6,2.054057845,46.6
1,167,23.4,71.5,5.1,1.14,6,15.8,1.276823795,52.7
1,1031,46.8,22.4,31,0.96,1.12,28.91,1.46,62
1,164,29.8,55,15.2,1.58,1.8,247.2,2.471215175,33
1,142,11.6,63.4,25,1.1,12,16.1,1.284992584,50
1,165,17.5,77,5.5,1.42,1,100.2,2.07903443,33.8
1,1033,46,23.8,30,0.92,1.99,34.59,1.54,58
1,149,33.9,50.2,15.9,1.58,0.2,49.4,1.771893657,42.1
1,115,26,40.5,33.5,0.57,5.74,58.5,1.845322574,53.2
1,114,26,40.5,33.5,0.56,5.74,1.5,0.254257967,68.5
1,1066,13.5,25.5,61,1.23,1.27,198.61,2.3,35
1,114,26,40.5,33.5,0.56,5.74,17,1.30861563,65.3
1,125,16.7,69.2,14.1,1.69,2.2,941.9,3.052171505,25.6
1,166,27.7,41.6,30.7,1.15,3,527.2,2.80014211,27.6
1,1031,46.8,22.4,31,0.96,1.12,162.18,2.21,43
1,1,35.6,50.2,14.2,1.55,0.52,223.4,2.427249877,40.8
1,20,39.2,50.2,10.6,1.42,5.82,203.5,2.386731122,32.1
1,1069,10.5,18.4,71,1.17,0.8,22.49,1.35,41
1,1045,51.1,35.3,14,0.77,1.02,15.85,1.2,65
1,1081,22.6,54.3,23,1.11,1.36,24.6,1.39,49
1,46,16,77.8,6.2,1.35,0.86,421.4,2.702861239,32.5
1,1045,51.1,35.3,14,0.77,1.02,4456.56,3.65,22
1,159,29.1,60.5,10.4,1.48,0.01,13.6,1.211705617,43
1,97,19.8,67,13.2,1.14,3.56,13.2,1.198740639,47
1,1065,34.8,30.7,35,1.09,1.34,0.95,-0.02,59
1,164,29.8,55,15.2,1.58,1.8,193.6,2.365072061,33.4
1,88,12.8,71.9,15.3,1.22,0.01,275.4,2.518130644,36
1,20,39.2,50.2,10.6,1.42,5.82,220.3,2.421181205,32
1,166,27.7,41.6,30.7,1.15,3,45.1,1.73234325,47.9
1,55,32.6,43.3,24.1,1.14,4.5,23.4,1.447382566,50
1,53,12.4,70.9,16.7,1.58,1.3,849,3.007074398,26.5
1,1059,41.3,26.9,32,1.04,1.18,28.84,1.46,56
1,143,8.8,53.1,38.1,0.96,8,9.7,1.064938442,58.1
1,46,16,77.8,6.2,1.35,0.86,384.5,2.663063052,32.8
1,126,14.7,75.3,10,1.29,0,530.9,2.803179434,19.1
1,123,5,35.7,59.3,1.47,0,17.7,1.326139975,40
1,1059,41.3,26.9,32,1.04,1.18,112.2,2.05,37
1,1018,37.2,22,41,1.11,0.91,31.41,1.5,54
1,160,37.6,42.2,20.2,1.36,2,369,2.645193074,24.5
1,95,29.3,55.3,15.4,1.35,0.2,512.9,2.788199407,24.8
1,1031,46.8,22.4,31,0.96,1.12,30.76,1.49,62
1,159,29.1,60.5,10.4,1.48,0.01,302.7,2.559179129,33.6
1,105,4.3,27.1,68.6,1.39,2.5,67.6,1.908113404,39.8
1,1016,54.2,34.4,11,0.95,1.01,17.95,1.25,62
1,125,16.7,69.2,14.1,1.69,2.2,7.8,0.970261311,39.5
1,167,23.4,71.5,5.1,1.14,6,1.4,0.224294744,55.7
1,95,29.3,55.3,15.4,1.35,0.2,3.8,0.657950305,45.8
1,97,19.8,67,13.2,1.14,3.56,10.7,1.107550486,47.9
1,126,14.7,75.3,10,1.29,0,128.5,2.187069836,30.4
1,1015,45.7,30.4,24,0.85,0.49,39.17,1.59,57
1,88,12.8,71.9,15.3,1.22,0.01,257,2.488099831,36.8
1,1065,34.8,30.7,35,1.09,1.34,131.22,2.12,36
1,1063,33.1,39.4,28,0.94,2.52,0.01,-2,62
1,126,14.7,75.3,10,1.29,0,20,1.379196704,43.3
1,125,16.7,69.2,14.1,1.69,2.2,328.9,2.595230582,32.3
1,97,19.8,67,13.2,1.14,3.56,10,1.078166708,48.5
1,167,23.4,71.5,5.1,1.14,6,543.3,2.813206413,39.1
1,126,14.7,75.3,10,1.29,0,22.7,1.434192565,42.6
1,95,29.3,55.3,15.4,1.35,0.2,467.7,2.748134078,25.2
1,1033,46,23.8,30,0.92,1.99,172.58,2.24,40
1,143,8.8,53.1,38.1,0.96,8,7.4,0.947398428,60.5
1,1059,41.3,26.9,32,1.04,1.18,59.43,1.77,46
1,1015,45.7,30.4,24,0.85,0.49,45.19,1.66,55
1,46,16,77.8,6.2,1.35,0.86,221.6,2.423736464,35.2
1,1069,10.5,18.4,71,1.17,0.8,75.34,1.88,34
1,1080,11.5,18.4,70,1.23,0.62,416.87,2.62,19
1,165,17.5,77,5.5,1.42,1,164.4,2.294068521,27.9
1,165,17.5,77,5.5,1.42,1,80.5,1.983962589,35.7
1,1064,28.8,33.5,38,1.11,2.56,337.29,2.53,29
1,149,33.9,50.2,15.9,1.58,0.2,115.9,2.142250144,39.7
1,1083,11.6,22.5,66,0.95,1.21,1.51,0.18,44
1,1018,37.2,22,41,1.11,0.91,37.15,1.57,53
1,97,19.8,67,13.2,1.14,3.56,75.9,1.958408484,34.6
1,46,16,77.8,6.2,1.35,0.86,369,2.645193074,33
1,118,6.6,78.9,14.5,1.24,1.8,26.7,1.50467797,42.8
1,1045,51.1,35.3,14,0.77,1.02,48.87,1.69,48
1,46,16,77.8,6.2,1.35,0.86,1992.8,3.377630423,29.6
1,1015,45.7,30.4,24,0.85,0.49,359.75,2.56,34
1,1064,28.8,33.5,38,1.11,2.56,45.81,1.66,49
1,1069,10.5,18.4,71,1.17,0.8,240.99,2.38,21
1,143,8.8,53.1,38.1,0.96,8,11.4,1.13507156,57.3
1,32,16,41.1,42.9,1.47,3.66,119.9,2.156985891,44.7
1,167,23.4,71.5,5.1,1.14,6,2.3,0.439894544,55.2
1,159,29.1,60.5,10.4,1.48,0.01,170.6,2.310145735,36.1
1,1031,46.8,22.4,31,0.96,1.12,98.86,2,49
1,126,14.7,75.3,10,1.29,0,24.3,1.463772982,42.2
1,159,29.1,60.5,10.4,1.48,0.01,82.6,1.995146755,38.6
1,166,27.7,41.6,30.7,1.15,3,567.5,2.832132574,27.1
1,1045,51.1,35.3,14,0.77,1.02,29.04,1.46,57
1,1083,11.6,22.5,66,0.95,1.21,587.49,2.77,19
1,46,16,77.8,6.2,1.35,0.86,470.9,2.751095399,32.1
1,123,5,35.7,59.3,1.47,0,358.9,2.633140167,25.6
1,1031,46.8,22.4,31,0.96,1.12,41.4,1.62,60
1,126,14.7,75.3,10,1.29,0,188.8,2.354168698,27.2
1,1059,41.3,26.9,32,1.04,1.18,141.91,2.15,35
1,105,4.3,27.1,68.6,1.39,2.5,40.7,1.687761117,46.2
1,142,11.6,63.4,25,1.1,12,10.8,1.111590464,55.5
1,1018,37.2,22,41,1.11,0.91,706.32,2.85,28
1,46,16,77.8,6.2,1.35,0.86,168.7,2.305281791,36.4
1,142,11.6,63.4,25,1.1,12,2.4,0.45837795,57.3
1,55,32.6,43.3,24.1,1.14,4.5,160.7,2.284182585,40.5
1,1081,22.6,54.3,23,1.11,1.36,238.23,2.38,41
1,159,29.1,60.5,10.4,1.48,0.01,429.5,2.711129876,32.1
1,46,16,77.8,6.2,1.35,0.86,60.9,1.862784001,40.6
1,1016,54.2,34.4,11,0.95,1.01,87.5,1.94,47
1,1018,37.2,22,41,1.11,0.91,113.24,2.05,42
1,165,17.5,77,5.5,1.42,1,963.8,3.06215363,15.8
1,95,29.3,55.3,15.4,1.35,0.2,19.5,1.36820132,43.3
1,118,6.6,78.9,14.5,1.24,1.8,53.5,1.80652049,34.6
1,143,8.8,53.1,38.1,0.96,8,3.5,0.622234753,61.1
1,143,8.8,53.1,38.1,0.96,8,24.1,1.460183751,54.7
1,165,17.5,77,5.5,1.42,1,77.4,1.966907669,36
1,1033,46,23.8,30,0.92,1.99,329.61,2.52,36
1,1066,13.5,25.5,61,1.23,1.27,26.55,1.42,45
1,123,5,35.7,59.3,1.47,0,19.5,1.36820132,39.1
1,105,4.3,27.1,68.6,1.39,2.5,107.2,2.108361494,26.2
1,4,25,57.8,17.2,1.42,0.01,616.5,2.868099789,36.9
1,1016,54.2,34.4,11,0.95,1.01,35.56,1.55,57
1,1083,11.6,22.5,66,0.95,1.21,229.09,2.36,30
1,1064,28.8,33.5,38,1.11,2.56,9.29,0.97,56
1,118,6.6,78.9,14.5,1.24,1.8,93.5,2.048978319,30.5
