fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,118,6.6,78.9,14.5,1.24,1.8,260.6,2.49414112,25.4
1,118,6.6,78.9,14.5,1.24,1.8,16.6,1.298274796,50.6
1,1033,46,23.8,30,0.92,1.99,76.03,1.88,48
1,142,11.6,63.4,25,1.1,12,61,1.863496543,41.3
1,1018,37.2,22,41,1.11,0.91,86.1,1.94,45
1,167,23.4,71.5,5.1,1.14,6,1.3,0.19211006,55.8
1,1018,37.2,22,41,1.11,0.91,4.03,0.61,57
1,20,39.2,50.2,10.6,1.42,5.82,287.8,2.537257498,31.4
1,1016,54.2,34.4,11,0.95,1.01,202.3,2.31,38
1,142,11.6,63.4,25,1.1,12,9.3,1.046649657,56.2
1,1081,22.6,54.3,23,1.11,1.36,514.04,2.71,37
1,20,39.2,50.2,10.6,1.42,5.82,11.5,1.138864549,35.6
1,1033,46,23.8,30,0.92,1.99,5345.64,3.73,22
1,97,19.8,67,13.2,1.14,3.56,316.2,2.578128574,28
1,1031,46.8,22.4,31,0.96,1.12,4.34,0.64,65
1,1083,11.6,22.5,66,0.95,1.21,4.68,0.67,44
1,1018,37.2,22,41,1.11,0.91,88.72,1.95,45
1,95,29.3,55.3,15.4,1.35,0.2,67.6,1.908113404,36.3
1,165,17.5,77,5.5,1.42,1,339.6,2.60913439,20.6
1,1016,54.2,34.4,11,0.95,1.01,45.6,1.66,55
1,97,19.8,67,13.2,1.14,3.56,186.2,2.348146385,30.4
1,118,6.6,78.9,14.5,1.24,1.8,24.5,1.467332793,43.8
1,159,29.1,60.5,10.4,1.48,0.01,211.3,2.403066205,35.1
1,166,27.7,41.6,30.7,1.15,3,29.5,1.547988724,54
1,115,26,40.5,33.5,0.57,5.74,22.5,1.430349226,65.1
1,1047,42,38.7,19,0.87,0.47,55.59,1.75,53
1,1033,46,23.8,30,0.92,1.99,27.61,1.44,61
1,1047,42,38.7,19,0.87,0.47,51.76,1.71,64
1,8,60,33.4,6.6,1.47,3.61,443.4,2.724962397,43.1
1,159,29.1,60.5,10.4,1.48,0.01,64,1.884346682,39.3
1,118,6.6,78.9,14.5,1.24,1.8,292.4,2.544144076,24.9
1,46,16,77.8,6.2,1.35,0.86,437.2,2.718846861,32.3
1,4,25,57.8,17.2,1.42,0.01,375.4,2.652660976,38.2
1,123,5,35.7,59.3,1.47,0,13.2,1.198740639,41.3
1,1033,46,23.8,30,0.92,1.99,40.18,1.6,56
1,1033,46,23.8,30,0.92,1.99,2.52,0.4,65
1,1047,42,38.7,19,0.87,0.47,56.49,1.75,65
1,4,25,57.8,17.2,1.42,0.01,47.6,1.755773661,43.1
1,152,29.9,54.2,15.9,1.39,5,12.9,1.188756418,43.8
1,1047,42,38.7,19,0.87,0.47,751.62,2.88,31
1,149,33.9,50.2,15.9,1.58,0.2,221.8,2.42412825,37.8
1,152,29.9,54.2,15.9,1.39,5,8.1,0.986651727,47.5
1,1064,28.8,33.5,38,1.11,2.56,182.39,2.26,33
1,46,16,77.8,6.2,1.35,0.86,492.9,2.770925526,31.9
1,167,23.4,71.5,5.1,1.14,6,2786.1,3.523163408,31.3
1,46,16,77.8,6.2,1.35,0.86,336.3,2.604893575,33.4
1,1065,34.8,30.7,35,1.09,1.34,469.89,2.67,29
1,142,11.6,63.4,25,1.1,12,22.8,1.436101555,47.9
1,123,5,35.7,59.3,1.47,0,37.8,1.655658508,36.2
1,1080,11.5,18.4,70,1.23,0.62,512.86,2.71,18
1,152,29.9,54.2,15.9,1.39,5,495.5,2.773210367,33.1
1,1066,13.5,25.5,61,1.23,1.27,4.06,0.61,47
1,142,11.6,63.4,25,1.1,12,9.6,1.060437941,55.6
1,1083,11.6,22.5,66,0.95,1.21,374.97,2.57,23
1,105,4.3,27.1,68.6,1.39,2.5,91.2,2.038161546,30.5
1,1031,46.8,22.4,31,0.96,1.12,396.28,2.6,37
1,20,39.2,50.2,10.6,1.42,5.82,32,1.583316686,35
1,1031,46.8,22.4,31,0.96,1.12,5.24,0.72,65
1,1080,11.5,18.4,70,1.23,0.62,5.92,0.77,47
1,20,39.2,50.2,10.6,1.42,5.82,148.9,2.251061406,32.8
1,1065,34.8,30.7,35,1.09,1.34,69.66,1.84,41
1,126,14.7,75.3,10,1.29,0,1.4,0.224294744,45.5
1,1059,41.3,26.9,32,1.04,1.18,76.38,1.88,42
1,167,23.4,71.5,5.1,1.14,6,8.9,1.027556715,53.7
1,20,39.2,50.2,10.6,1.42,5.82,560.4,2.826664835,29.7
1,1081,22.6,54.3,23,1.11,1.36,106.17,2.03,46
1,1016,54.2,34.4,11,0.95,1.01,309.74,2.49,35
1,88,12.8,71.9,15.3,1.22,0.01,158.5,2.278195975,43.3
1,159,29.1,60.5,10.4,1.48,0.01,16.4,1.293010556,42.7
1,1031,46.8,22.4,31,0.96,1.12,32.14,1.51,62
1,159,29.1,60.5,10.4,1.48,0.01,4.7,0.750264566,44.4
1,115,26,40.5,33.5,0.57,5.74,80.5,1.983962589,48.7
1,53,12.4,70.9,16.7,1.58,1.3,18.1,1.335845283,39
1,1063,33.1,39.4,28,0.94,2.52,17.46,1.24,59
1,1059,41.3,26.9,32,1.04,1.18,40.55,1.61,52
1,125,16.7,69.2,14.1,1.69,2.2,342.8,2.613207521,31.9
1,166,27.7,41.6,30.7,1.15,3,30.4,1.561040292,58.1
1,105,4.3,27.1,68.6,1.39,2.5,39.8,1.67804978,47.2
1,115,26,40.5,33.5,0.57,5.74,5.8,0.841594702,68
1,1033,46,23.8,30,0.92,1.99,30.06,1.48,60
1,164,29.8,55,15.2,1.58,1.8,11.4,1.13507156,39.4
1,166,27.7,41.6,30.7,1.15,3,337.3,2.606183049,30.4
1,46,16,77.8,6.2,1.35,0.86,358.6,2.632776993,33.1
1,1015,45.7,30.4,24,0.85,0.49,31.55,1.5,60
1,20,39.2,50.2,10.6,1.42,5.82,180.9,2.335605275,32.3
1,126,14.7,75.3,10,1.29,0,141.3,2.22830887,29.6
1,1047,42,38.7,19,0.87,0.47,167.49,2.22,39
1,1031,46.8,22.4,31,0.96,1.12,325.84,2.51,38
1,114,26,40.5,33.5,0.56,5.74,87.1,2.018184863,49.7
1,1016,54.2,34.4,11,0.95,1.01,66.22,1.82,51
1,4,25,57.8,17.2,1.42,0.01,353.6,2.626678965,38.3
1,1059,41.3,26.9,32,1.04,1.18,25.76,1.41,57
1,20,39.2,50.2,10.6,1.42,5.82,169.2,2.306567067,32.6
